Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
800,2,0,0,31.9,50.8,0.94,58.86
850,2,0,0,31.2,50.1,0.91,63.46
900,2,0,0,38.6,50.9,0.94,60.62
950,2,0,0,39.1,50.7,0.97,63.6
1000,2,0,0,37,50.1,1,63.4
1050,2,0,0,34.7,50,0.9,61.57
1100,2,0,0,34.7,51.5,0.9,42.86
1150,2,0,0,36.9,52,0.9,60.24
1200,2,0,0,33.6,52.1,0.86,59.07
1250,2,0,0,35.3,54.3,0.96,63.14
1300,2,0,0,36.7,55.4,0.8,62.8
1350,2,0,0,33.5,55.7,0.98,62.02
1400,2,0,0,39.5,57,1,63.17
1450,2,0,0,36.9,57.1,1,58.88
1500,2,0,0,32.1,58.1,1,63.12
1550,2,0,0,36.5,55.8,0.97,63.4
1600,2,0,0,32.3,55.1,1,59.93
1650,2,0,0,38,53.1,0.95,63.8
1700,2,0,0,38.9,53.1,1,64
1750,2,0,0,35.3,52.9,0.99,58.03
1800,2,0,0,30.8,54.3,0.92,63.7
1850,2,0,0,34.2,54.7,0.9,64
1900,2,0,0,34.3,55,1,63.7
1950,2,0,0,39.2,54,1,60.33
2000,2,0,0,38.3,53.5,0.99,61.92
2050,2,0,0,37.1,54.7,0.99,62.94
2100,2,0,0,36.2,56.5,1,62.31
2150,2,0,0,37,57,0.99,63.19
2200,2,0,0,38.8,56.9,0.9,55.68
2250,2,0,0,31.7,58.9,0.8,64
2300,2,0,0,36.6,61,0.78,47.39
2350,2,0,0,31.4,59.1,0.82,62.46
2400,2,0,0,40.8,59,0.58,51.94
2450,2,0,0,47.6,59.1,0.65,47.57
2500,2,0,0,38.3,58.8,0.64,52.87
2550,2,0,0,36.6,59,0.8,62.81
2600,2,0,0,36.3,60,0.85,38.12
2650,2,0,0,40,61.1,0.65,56.68
2700,2,0,0,40.1,60.3,0.66,46.72
2750,2,0,0,37.2,60.1,0.8,64
2800,2,0,0,37.4,59.9,0.8,62.83
2850,2,0,0,34.8,60,0.69,60.77
2900,2,0,0,39.9,58.2,0.66,58.82
2950,2,0,0,40,57.8,0.68,50.98
3000,2,0,0,41,57.8,0.61,54.33
3050,2,0,0,42.7,55.7,0.45,44.4
3100,2,0,0,39.3,54.6,0.41,56.52
