Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
0,1,0,0,19.6,19.6,0.4,8
50,1,0,0,19.9,19.9,0.39,0.4
100,1,0,0,22.1,22.1,0.4,0.5
150,1,0,0,22.3,22.3,0.22,0.42
200,1,0,0,21.2,21.2,0.31,0.52
250,1,0,0,23.6,23.6,0.68,1.39
300,1,0,0,23.7,23.7,0.8,1.02
350,1,0,0,23.7,23.7,0.82,1.57
400,1,0,0,20.3,22,1,2.58
450,1,0,0,22.2,22.2,0.98,1.9
500,1,0,0,22.7,22.7,0.81,1.93
550,1,0,0,23.2,23.2,0.84,1.42
600,1,0,0,23,23,0.9,2.39
650,1,0,0,27.2,27.2,0.82,1.61
700,1,0,0,27,27,0.9,2.84
750,1,0,0,27.8,27.8,0.9,2.38
800,1,0,0,29.1,29.1,0.82,4.1
850,1,0,0,28.7,28.7,0.69,2.86
900,1,0,0,28.3,28.3,0.7,2.51
950,1,0,0,28.8,28.8,0.6,2.63
1000,1,0,0,27.7,27.7,0.76,1.53
1050,1,0,0,27.4,27.4,0.76,1.43
1100,1,0,0,27.7,27.7,0.96,5.33
1150,1,0,0,27.1,27.1,0.97,8.04
1200,1,0,0,26.9,26.9,0.99,4.72
1250,1,0,0,26.3,26.3,0.95,4.83
1300,1,0,0,26.2,26.2,1,5.46
1350,1,0,0,27.6,27.6,0.97,5.57
1400,1,0,0,26,26,0.96,3.64
1450,1,0,0,26.6,26.6,0.98,2.84
1500,1,0,0,29.9,29.9,1,5.72
1550,1,0,0,28.5,28.5,0.97,5.31
1600,1,0,0,27.6,27.6,0.91,2.38
1650,1,0,0,27,27,0.68,2.71
1700,1,0,0,25.7,25.7,0.78,3.23
1750,1,0,0,25.4,25.4,0.8,1.54
1800,1,0,0,25.4,25.4,0.87,1.56
1850,1,0,0,27.2,27.2,0.87,2.26
1900,1,0,0,27,27,0.86,2.07
1950,1,0,0,26.6,26.6,0.87,4.29
2000,1,0,0,25.9,25.9,0.95,5.1
2050,1,0,0,25.3,25.3,1,2.98
2100,1,0,0,26,26,1,3.32
2150,1,0,0,26.1,26.1,0.99,3.84
2200,1,0,0,24.9,24.9,0.99,2.52
2250,1,0,0,24.8,24.8,0.85,1.24
2300,1,0,0,24.2,24.2,0.9,1.79
